PP,C,timestamp,Squality,Sneutral,Shappy,Ssad,Sangry,Ssurprised,Sscared,Sdisgusted,Svalence,SyHeadOrientation,SxHeadOrientation,SzHeadOrientation,SmouthOpen,SleftEyeClosed,SrightEyeClosed,SleftEyebrowLowered,SleftEyebrowRaised,SrightEyebrowLowered,SrightEyebrowRaised,SgazeDirectionForward,SgazeDirectionLeft,SgazeDirectionRight,SAu01_InnerBrowRaiser,SAu02_OuterBrowRaiser,SAu04_BrowLowerer,SAu05_UpperLidRaiser,SAu06_CheekRaiser,SAu07_LidTightener,SAu09_NoseWrinkler,SAu10_UpperLipRaiser,SAu12_LipCornerPuller,SAu14_Dimpler,SAu15_LipCornerDepressor,SAu17_ChinRaiser,SAu20_LipStretcher,SAu23_LipTightener,SAu24_LipPressor,SAu25_LipsPart,SAu26_JawDrop,SAu27_MouthStretch,SAu43_EyesClosed
PP1,1,20120918T131400000,0876769111,0478708162,027333202,0016504691,422E-04,0001921744,0009544045,000443077,0249592243,-7,0111825814,0530590244,0695238095,0152380952,0047619048,000952381,0057142857,000952381,0095238095,0704761905,0,0114285714,020952381,0,0,0161904762,0038095238,0,0171428571,2,0114285714,0,0,0780952381,0,000952381,0,2,0,0,02
PP1,1,20120918T131500000,0925502506,0720761984,0183316411,0003891204,0002432714,0002577146,0007700588,0001237108,0172381362,-7,-4,2,002688172,0053763441,0048387097,0,0177419355,0,0134408602,0790322581,0075268817,0037634409,0,0,0,0215053763,0,0,0295698925,1,0166666667,0080645161,0010752688,0,0059139785,0102150538,002688172,0091397849,0,0,069892473
PP1,1,20120918T131600000,0944940918,0968862042,0023946383,0001300175,001631547,0002024427,0001087404,286E-04,0007396084,-7,-6,-0584951747,0,0,0,005,0025,0020833333,0,09625,0,0016666667,0,0,0029166667,0141666667,0,0,0533333333,0558333333,0,00625,0,0,0,0,0,0,0,0,0
PP1,1,20120918T131700000,0930303215,0884569791,00769516,0001143958,0017391767,0002032258,651E-04,344E-04,0058769822,-11,-7,-4,0,0020920502,0,00041841,0108786611,0,0,0945606695,0,0,0,0,0,009623431,0,0,0560669456,0071129707,0,0029288703,0,0,0,0,0,0,0,0,0
PP1,1,20120918T131800000,0933103582,0931965175,0031467652,371E-04,002377429,0001722048,0001755572,597E-04,0007163655,-11,-7,-2,0,0,0,0025,0025,0004166667,0,0966666667,0,00125,0,0,0,0170833333,0,0,0604166667,075,0,0,0,0,0,0,0,0,0,0,0
PP1,1,20120918T131900000,0904465576,0806947492,0105516304,0006458788,0009808953,000156318,441E-04,311E-04,0089651117,-11,-6,-5,0,0118644068,0046610169,0038135593,0033898305,0,0025423729,0970338983,0004237288,0,0118644068,0,0,0072033898,0,0,0372881356,0012711864,0004237288,0004237288,0,0076271186,0,0025423729,0,0,0,0,0
PP1,1,20120918T132000000,0929025401,0951412201,0028358411,0001095142,0018130128,0001308753,0003465946,286E-04,0008580937,-4,-5,-6,0,0033333333,00125,0179166667,0125,0004166667,0,0958333333,0,0029166667,0,0,0,0116666667,0,0,0729166667,0770833333,0,0133333333,0,0,0,0,0,0,0,0,0
PP1,1,20120918T132100000,0909789908,0860669358,0091528206,0001091498,0015504973,0001192221,0001034162,341E-04,0075596645,-11,-5,-7,0,02,0016666667,0,0016666667,0,0,09125,0020833333,0008333333,0,0,0,0075,00375,0,0916666667,02875,0,0008333333,0,0,0004166667,0,0,0,0,0,0
PP1,1,20120918T132200000,0918178232,0893860703,0086839594,306E-04,0011709212,0002453603,609E-04,245E-04,0075130382,-16,-6,-5,0,0071129707,0,0025104603,019665272,0,0,0966527197,0,0,0,0,0,0125523013,0,0,0435146444,0020920502,0,0,0,0,0,0,0,0,0,0,0
PP1,1,20120918T132300000,0897249035,0855360888,0151708496,000890874,0005758416,0002109667,000432008,684E-04,013548306,-14,5,-6,0015228426,0411167513,0050761421,0,0020304569,0101522843,0015228426,038071066,0020304569,038071066,0,0,0,0010152284,0,0,0152284264,0279187817,0,0035532995,0,0005076142,0,0,0,0015228426,0,0,0492385787
